Survey_No,Why_Fav_Stop,Why_Least_Fav_Stop,Why_Best_Lylty_Card,Why_Worst_Lylty_Card
1,prices,prices,more reward points,
2,,outdated,rewards,
3,free coffee,hard to get in and out at times,can used at shop as well,just used at that rest at land
4,"reward points, free coffee at all stops","no points, horrible customer service",reward points,same as question 8
5,clean nice larger,,,
6,,,,
7,,,,
8,platinum program,bad service,unlimited program,bad service
10,"clean shower and restroom, easy in and out",too pricey,cash 2 cents per quantp credit 1 cent per quantp,don’t even use it anymore
11,showers very clean people working inside and outside very nice,products are very much overpriced,free showers and drinks,no free showers or drinks
12,,not friendly and dirty,,
13,clean showers,its not as clean,get free stuff on the spot,too many problems not enough free stuff
14,best rest rooms a cleaner,room for parking and cleanliness,big showers,
15,convenient,,shopping,
17,some of the northern states are great.  East coast have attitudes like we are wasting their time,wont let us sit in front of the productx line just to get coffee,"showers, food",cant get productx
18,the points on card,,the points,
19,,parking bad pot holes in them,double points,
20,"price, accesibility, cleanliness",cuz they treated me with disrespect once to many times,sometimes pays for food with points,changing their cards
21,PDCA card,iron skittle dishes,,
22,TV room big parking lot,,shop in store,on line only
23,clean convenient,,store productx,?
25,clean,dirty,ponint,less points
26,showers and service,bad service,platinum program,points lost
28,idle air - restaurrant,,,
29,free showers and good service,bad service,platinum program,points lost
30,cleanliness and product selection,high prices,showers,
31,,,,
32,clean,dirty,points,less points
33,better mileage,parking,points,hard to collect points
34,clean nice showers,just don’t prefer compTRO,gives me a lot of points as far as im concerned,they don’t give much for the money I spend
35,clean,,rewards,
37,parking/ease of getting into productx stop,always crowded,,
38,more choices,don’t like who owns it,more choices,don’t like who owns it
39,better service and more to offer (purchase),,,
41,clean showers,dirty showers,no answer,no answer
44,more stuff,not many stops,better point system,I don’t have loyalty card
45,can write checks,,,
46,food showers,,money back,
49,,just don’t like,don’t know,
50,"can get in and out easy and fast, clean",scuzzy people,don’t have to build points before you can use,compT
51,,productx prices,the way it works,it sucks!
52,easy to get productx in and out,nasty,no points,
53,,,,
54,nice employee,employees not friendly,,
55,,ass holes,,
56,fast service,bad productx,,
57,shower customer rewards and they were in the area I was productxing,don’t take comdata,the benefits when I meet the requirements,it comes in mail DO card
59,customer points - able to wash glass with long handle wind washers,takes very few productx cards,"can use for any product, food or productx",
60,buy enough productx one month for unlimited showers,,see 6,
61,showers - nicer and cleaner,outdated rundown not very clean,unlimited showers with enough gas,kiosk
62,1000 quantp mth program,not very clean,1000 quantp you get the next month free showers and refills,
63,cheaper productx,they suck,its easy to use,
64,"friendlier, have more pride.  Always get smiles and are more willing to help",just plain bad!,easier to use,don’t make service
65,the way I am treated at shopstops is better,the service,showers,cant use it in store
66,there a lot easier to find off the interstate,it doesn’t take comdata anymore,the payback which makes it nice to be able to keep track of productx,cause I don’t get productx there cause I deal with comdata
67,convenience parking showers meal,expensive,better merchandise,
68,larger facilities,too crowded,can use points for anything,can only use rewards on line or in restaurant
69,pricing,inconsiderate personell,,
70,most of the stops are all too congested!,always dirty and productx desk seems lost,the payback,
71,rewards card,many reasons,double points,
72,they have everything,not very clean,,
73,transflow.  compTRO and competitor compx three best food,don’t like fast food,most used,
74,time at productx isle,parking,productx discount,dirty
76,coffee,,discount productx shower points restaurant points,I don’t know about them
77,easy in and out,cater to four wit?elers,points for food,whats worst?
78,nice-n-clean,,,
81,variety,time,,
82,,poor quality,3 levels of loyalty rewards based on use,no way to use points
84,showers and drinks,no comdata,showers and drinks,
85,easy in - easy out close access to productx desk,productx desk too far from pumps,platinum program,cant use points need to get red emption cert.
86,clean quick shower,slow showers,clean fast showers,card readers never work waiting to get a shower
87,shower heads.  Good people,people parking cleanliness,I can turn the pump on and go in and pay making only one trip.  Very important!,
88,room,busy,easy,
89,premeire ? Card obtainable,service,?,service
90,the price,less,rebates/discounts,
92,free showers with 1000 quantp fillup free drink refills,no free drinks.limited showers,free showers/free drinks does need bigger towels,no free drinks/limited showers
93,2 compy = cleaner showers.  shopstops - friendlier people and better food selection,,1000 quantps for drinks and showers,
94,they are generally cleaner.  People tend to be better shopstops has hardee or carls jr at some locations,older dirtier attitude of employees,1000 quantps gets you unlimited coffee and showers following month,
95,free pop and coffee refills and showers after 1000 quantps in previous month - mostly nice people,nice is to employees,see answer 6,most tas are dirty and unfriendly employees
96,free pop and coffee refills after 1000 quantp during previous month mostly the great people who work at shopstops,productx too expensive and most are dirty,refill and shower policy.  Great customer service when I have questions,
98,"I believe they both have clean truck stops and good service, shopstops just needs to get their computer system to go with all their locations (print receipt anywhere)",charge for parking,it works on everything,not following through with all purchase
99,,service,service,
100,productx price and rewards,too expensive,cash rewards checks,little returns
102,food,,showers don’t fall off,
103,not real busy,customers parked on productx island and no authority making them move,,
104,,,,
105,points food,,showers don’t fall off,
106,the productx is better than compT,,not sure,
107,convenient - price of productx and food,,easy to use,harder to use
108,,,,
109,"cleaner, friendlier people",rude.  Don’t take the time to know you,points longer showers,points cancel too soon
110,no real reason shopstops is good too,preference,,
111,quick to turn pump on,too much hassle about visa cards,good selection,your points expire too quick
112,"easier parking, better showers, cleaner stores",nasty nasty,ease of use,cant get cash advance at productx pump
115,easy to get in and out parking different restaurants,cant get in to productx.  No parking,,
117,at competitor compx you have to wait to productx,their places are usually not very clean,because you can get truck repair fast and courteous,you can only purchase certain amounts
118,incentive programs,bad traffic,discount on productx,no incentives
119,showers,"no food, no parking, showers, not enough hot water",,
120,quick,poor point system,dollar for dollar,never know what you have
121,hate competitor compx,waiting in line,points,have to send the points in mail
122,truck parking - quick reproductx price of gas,,cash price,
124,easy in and out,no service,easy cash in,mail in
125,food and showers,bad showers,.1 per quantp,its atoke
127,discounts and good service,bad experience,good service,high prices
130,economic,more expensive,points given,
131,price,price and not ?,points are avaliable,points can only be used in restaurant
132,small in out usually,,easy to use,
133,clean,,,
134,quick,does not accept comdata,double points,don’t care for them
136,cleaness,dirty,sr. discount on meals,
137,pump start card.  Clean showers,always slow and dirty,ease of use,waiting in line to buy productx and get pump turned on
138,because of the showers.  Always clean,do not give express showers,point pay back,
139,convenience,,points rewards,compTRO
140,sit down restaurant,high priced productx,get points for eating in restaurant or fast food court,
141,,,,
143,there are quite a few more locations,,,
144,always fresh coffee and clean showers,a lot of times dirty,betting pointss for merchandise,
146,clean convenient,compT,"showers, convenient",
149,competitor compx (card),,everything,
150,cheaper,,restaurant (food),
151,,,,
152,way the personell great and helpfulness they give,"not people friendly, dirty restrooms/showers",,
153,kiosk @ door - no standing in line,,points to spend same as cash,no rewards
154,always clean,always dirty,gathering the points to spend at the store,only for showers
155,cleanliness,"dirty, urine smell in parking areas",more points for less money,less points for more money
157,closer to work,same,,
158,sit downrestaurant and laundry,hard to park,double point offers,have to gon online
159,get in and out,alow,by everything,
160,quick service,,easy to,mailing the coupon to house
162,"good service, different products for customers",poor service,I have never had a loyalty card with shopstops,
164,,inconvenience,gifts,
165,fast in and out,waste of time,unlimited,5 day showers
166,fast service,slow service,general merchandise,
167,good prices on productx and the service on clean showers,"I have no complaint except the coffee, needs more flavor",the points are great,compT has a point limit that they will compTke if you don’t use them
168,faster service,slow service,more general merchandise.  More visible signs on road,most are same shopstops still better
169,price,butthole,use,piolet
170,options of relax home feel,,double points,
171,"drinks, showers",,"drinks, showers",
174,"service, excellent restrooms",service,discounts,no discounts of value to me
176,more locations,bad service,more savings,only have one
178,more of them,always nasty bathrooms,,
179,they all carry half,don’t really care for the customers,,
180,they all have ultra low productx,very feww have ultra low productx always unclean,,
181,food choices IE restaurants,there way of business and atitude,use of card not so limited,cant use card for everything
183,"drinks, showers","showers, service","showers, drinks","showers, gone in 3 days"
185,,stand in live to pay weight ete.,easy to use at pump,points expire - wont take my productx card
186,"subway, parking, customer service",poor customer service,easy to redeem,hard to redeem
187,variety of products,don’t frequent much,length that showers stay on card,problems keeping points on cards
189,food interiver hook up,not enough parking,in some stop can use ? Card for fast food,some of the points am lost at end of year
190,area of coverage,lack of cleanliness,faster point accumulation and upgrades,lack of customer service
192,convenient,problems parking and overcharge for coffee,unlimited showers and drinks for purchase over 1000 quantps,don’t have direct access for points
193,most of the time it is easier to find a parking place at any given time and you have a set down restaurant to eat in and no subway to deal with,prices always higher and service has bever been good,the double and triple points rewards,you can only use the points you get at their e-store
194,,,,
196,showers and drinks,compT to dirty,points are always there never expire,
197,rewards card,many reasons,double points,
198,thick styrafoam cups for soft drinks.  Ice lasts all day an 99 cents for a 44 ounce,always dirty,points stay on the card until you use them,
202,,,,
203,sells beer,crowded,free drinks,expires
205,easy access.  Quick productxing,their prices for food and services,,no card is worst when you benefit
206,clean,slow,,
207,parking,no room,use for anything,cant use in store
209,"clean, inside and out",,selection of products,less to chose from
